"event","type","date","facility","remote_facility","trapsite","plant_location","adult_count","male_count","female_count","jack_count","non_viable_female_count","egg_take_count","species","run","stock","origin","adult_mark_type_id","brood_year","cwt_method_checked_lut_id","cwt_checked_ind","cwt_reason_not_checked_lut","cwt_reason_not_checked_txt","cwt_present_ind","cwt_collected_ind","cwt_reason_not_collected","cwt_reason_uncollected_lut","tagged_males","tagged_females","tagged_jacks"
"Adult Mortality Event","","1995-09-25T00:00:00.000","ISSAQUAH HATCHERY","","","","0","3","8","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-09-26T00:00:00.000","ISSAQUAH HATCHERY","","","","0","22","36","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","2","1995",,"true",,,"true","true",,,"0","0","0"
"Adult Mortality Event","","1995-09-26T00:00:00.000","ISSAQUAH HATCHERY","","","","0","6","3","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","2","1995",,"true",,,"true","true",,,"0","0","0"
"EggTake","","1995-09-26T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","149700","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-09-26T00:00:00.000","ISSAQUAH HATCHERY","","","","0","67","0","5","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","2","1995",,"true",,,"true","true",,,"0","1","0"
"Adult Surplus Event","","1995-09-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","136","0","67","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-09-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","5","6","2","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1995-09-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","241500","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-09-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","48","56","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","6","16","2","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","421000","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","538","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","4","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","89","0","58","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","68","92","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","66","108","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","60","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","301","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","2","1","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","11","21","1","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","5","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","501000","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","3","2","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","59","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","852000","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","40","41","2","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
