"return_year","flow_water_year_mean_cfs","flow_water_year_days","flow_jul_sep_mean_cfs","flow_jul_sep_min_cfs","flow_jul_sep_days","swe_apr01_inches","pdo_annual_mean","pdo_months","temp_jun_sep_mean_c","temp_jun_sep_samples","temp_station"
"1997","194.427","365","67.685","29","92","80.4","1.34","12","14.725","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"1998","103.932","365","28.207","19","92","38.8","-0.122","12","14.82","5","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"1999","162.129","365","43.478","21","92","63","-1.377","12","14.88","5","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2000","129.087","366","27.424","19","92","50.5","-0.782","12","13.42","5","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2001","72.562","365","30.891","19","92","27.7","-0.742","12","14.32","5","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2002","155.762","365","26.598","17","92","59.3","-0.135","12","13.575","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2003","84.852","365","17.25","11","92","31.6","0.527","12","14.6","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2004","110.18","366","35.391","11","92","38","-0.111","12","14.8","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2005","90.345","365","27.423","16.9","92","9.1","-0.091","12","13.575","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2006","130.881","365","28.035","17.6","92","48.7","-0.153","12","14.183","6","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2007","138.875","365","23.138","13.7","92","40.5","-0.464","12","14.825","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2008","110.692","366","29.488","19.6","92","60.9","-1.331","12","12.746","9","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2009","119.628","365","24.265","18","92","41.2","-0.817","12","15.8","5","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2010","128.858","365","49.372","25.9","92","21","-0.743","12","14.12","5","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2011","186.684","365","41.689","21.2","92","32.6","-1.571","12","15.525","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2012","139.381","366","41.182","22.2","92","47.6","-1.414","12","14.05","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2013","143.356","365","42.228","19.7","92","32.9","-0.926","12","15.7","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2014","130.592","365","32.423","20","92","33.4","0.532","12","15","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2015","127.857","365","24.285","15.6","92","0.1","0.805","12","16.2","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2016","150.761","366","29.455","19.3","92","36.6","0.632","12","13.65","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2017","173.679","365","28.927","19.5","92","37.9","-0.063","12","15.075","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2018","145.845","365","23.237","15.5","92","33","-0.303","12","15.725","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2019","100.833","365","33.561","20.6","92","24","-0.04","12","15.55","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2020","150.459","366","30.199","20.3","92","33","-1.041","12","14.45","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2021","123.296","365","22.491","15.1","92","48.6","-1.585","12","15.425","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2022","164.83","365","31.679","21.4","92","28.6","-1.78","12","15.175","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2023","86.576","365","21.64","14.8","92","32.9","-1.878","12","15.4","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2024","108.595","366","25.907","16.7","92","22.8","-2.108","12","14.9","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
"2025","97.036","365","20.541","17.4","92","23.8","-1.776","12","17.1","4","King County 0631; Issaquah Creek at SE 56th St; grab samples"
