"return_year","species","hatchery_adults","wild_adults","total_adults","hatchery_jacks","wild_jacks","total_jacks","adult_plus_jacks","flow_water_year_mean_cfs","flow_jul_sep_mean_cfs","flow_jul_sep_min_cfs","swe_apr01_inches","pdo_annual_mean","temp_jun_sep_mean_c","temp_jun_sep_samples","impervious_pct","hatchery_releases","response_source","environmental_source_status","release_source_status"
"1997","Chinook","3815","0","3815","125","0","125","3940","194.427","67.685","29","80.4","1.34","14.725","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"1997","Coho","7961","0","7961","10","0","10","7971","194.427","67.685","29","80.4","1.34","14.725","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"1998","Chinook","4867","0","4867","24","0","24","4891","103.932","28.207","19","38.8","-0.122","14.82","5",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"1998","Coho","3384","0","3384","522","0","522","3906","103.932","28.207","19","38.8","-0.122","14.82","5",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"1999","Chinook","2189","0","2189","57","0","57","2246","162.129","43.478","21","63","-1.377","14.88","5",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"1999","Coho","2963","0","2963","192","0","192","3155","162.129","43.478","21","63","-1.377","14.88","5",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2000","Chinook","3686","0","3686","458","0","458","4144","129.087","27.424","19","50.5","-0.782","13.42","5",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2000","Coho","27225","0","27225","65","0","65","27290","129.087","27.424","19","50.5","-0.782","13.42","5",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2001","Chinook","10451","0","10451","287","0","287","10738","72.562","30.891","19","27.7","-0.742","14.32","5",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2001","Coho","35259","0","35259","530","0","530","35789","72.562","30.891","19","27.7","-0.742","14.32","5",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2002","Chinook","5620","0","5620","283","0","283","5903","155.762","26.598","17","59.3","-0.135","13.575","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2002","Coho","1284","0","1284","199","0","199","1483","155.762","26.598","17","59.3","-0.135","13.575","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2003","Chinook","5742","0","5742","100","0","100","5842","84.852","17.25","11","31.6","0.527","14.6","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2003","Coho","5593","0","5593","50","0","50","5643","84.852","17.25","11","31.6","0.527","14.6","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2004","Chinook","12771","0","12771","262","0","262","13033","110.18","35.391","11","38","-0.111","14.8","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2004","Coho","20617","0","20617","825","0","825","21442","110.18","35.391","11","38","-0.111","14.8","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2005","Chinook","6840","0","6840","237","0","237","7077","90.345","27.423","16.9","9.1","-0.091","13.575","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2005","Coho","8704","0","8704","653","0","653","9357","90.345","27.423","16.9","9.1","-0.091","13.575","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2006","Chinook","8913","0","8913","378","0","378","9291","130.881","28.035","17.6","48.7","-0.153","14.183","6",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2006","Coho","8698","0","8698","47","0","47","8745","130.881","28.035","17.6","48.7","-0.153","14.183","6",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2007","Chinook","13432","0","13432","51","0","51","13483","138.875","23.138","13.7","40.5","-0.464","14.825","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2007","Coho","3272","0","3272","203","0","203","3475","138.875","23.138","13.7","40.5","-0.464","14.825","4",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
"2008","Chinook","3007","0","3007","62","0","62","3069","110.692","29.488","19.6","60.9","-1.331","12.746","9",,,"WDFW Hatchery Adult Salmon Returns; Trap Estimate events","complete except imperviousness","blocked: RMIS authorization or FISH export required"
