"sampleid","grabid","profileid","sample_number","collect_datetime","depth","site_type","area","locator","site","parameter","value","units","qualityid","lab_qualifier","mdl","rdl","textvalue","sampleinfo","stewardnote","replicates","replicateof","method","dateanalyzed","datasource"
"7419","7419","39431","7215015","1972-01-04T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","4.4","deg C","2",,,,"4.4||King County Nstream Database/RBC",,,,,,,"KCEL"
"7415","7415","11182","7215006","1972-01-04T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","4.2","deg C","2",,,,"4.2||King County Nstream Database/RBC",,,,,,,"KCEL"
"7455","7455","31621","7215254","1972-03-22T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","9.8","deg C","2",,,,"9.8||King County Nstream Database/RBC",,,,,,,"KCEL"
"7450","7450","16306","7215231","1972-03-22T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10.1","deg C","2",,,,"10.1||King County Nstream Database/RBC",,,,,,,"KCEL"
"7490","7490","31704","7215405","1972-05-01T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","8.2","deg C","2",,,,"8.2||King County Nstream Database/RBC",,,,,,,"KCEL"
"7486","7486","17042","7215391","1972-05-01T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","9","deg C","2",,,,"9.0||King County Nstream Database/RBC",,,,,,,"KCEL"
"8049","8049","26081","7515151","1975-04-02T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","6.5","deg C","2",,,,"6.5||King County Nstream Database/RS1",,,,,,,"KCEL"
"8067","8067","36071","7515341","1975-06-24T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","12.4","deg C","2",,,,"12.4||King County Nstream Database/RS1",,,,,,,"KCEL"
"8063","8063","26611","7515333","1975-06-24T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","11.5","deg C","2",,,,"11.5||King County Nstream Database/RS1",,,,,,,"KCEL"
"8084","8084","29250","7515538","1975-09-02T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","11.7","deg C","2",,,,"11.7||King County Nstream Database/RS1",,,,,,,"KCEL"
"8080","8080","14372","7515530","1975-09-02T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","11.3","deg C","2",,,,"11.3||King County Nstream Database/RS1",,,,,,,"KCEL"
"8103","8103","32603","7515747","1975-12-09T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","8.8","deg C","2",,,,"8.8||King County Nstream Database/RS1",,,,,,,"KCEL"
"8099","8099","21985","7515739","1975-12-09T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","8.1","deg C","2",,,,"8.1||King County Nstream Database/RS1",,,,,,,"KCEL"
"8121","8121","34044","7615188","1976-03-10T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","6.3","deg C","2",,,,"6.3||King County Nstream Database/RS1",,,,,,,"KCEL"
"8119","8119","25242","7615182","1976-03-10T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","5.9","deg C","2",,,,"5.9||King County Nstream Database/RS1",,,,,,,"KCEL"
"8170","8170","5573","7615370","1976-06-16T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10.9","deg C","2",,,,"10.9||King County Nstream Database/RS1",,,,,,,"KCEL"
"8174","8174","36957","7615381","1976-06-16T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","11.8","deg C","2",,,,"11.8||King County Nstream Database/RS1",,,,,,,"KCEL"
"8730","8730","5532","7915063","1979-01-31T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","1.3","deg C","2",,,,"1.3||King County Nstream Database/RS2",,,,,,,"KCEL"
"8736","8736","36386","7915079","1979-01-31T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","2.4","deg C","2",,,,"2.4||King County Nstream Database/RS2",,,,,,,"KCEL"
"8755","8755","24921","7915116","1979-02-22T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","3.2","deg C","2",,,,"3.2||King County Nstream Database/RS2",,,,,,,"KCEL"
"8769","8769","33906","7915144","1979-02-22T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","3.4","deg C","2",,,,"3.4||King County Nstream Database/RS2",,,,,,,"KCEL"
"8812","8812","16777","7915225","1979-03-22T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","6.2","deg C","2",,,,"6.2||King County Nstream Database/RS2",,,,,,,"KCEL"
"8818","8818","31614","7915241","1979-03-22T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","6.7","deg C","2",,,,"6.7||King County Nstream Database/RS2",,,,,,,"KCEL"
"8857","8857","40061","7915320","1979-04-19T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","7","deg C","2",,,,"7.0||King County Nstream Database/RS2",,,,,,,"KCEL"
"8843","8843","10752","7915292","1979-04-19T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","6.9","deg C","2",,,,"6.9||King County Nstream Database/RS2",,,,,,,"KCEL"
"8912","8912","31000","7915430","1979-05-24T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","14.8","deg C","2",,,,"14.8||King County Nstream Database/RS2",,,,,,,"KCEL"
