"return_year","species","hatchery_adults","wild_adults","total_adults","hatchery_jacks","wild_jacks","total_jacks","adult_plus_jacks","trap_event_rows","first_trap_event","last_trap_event","response_definition"
"1997","Chinook","3815","0","3815","125","0","125","3940","5","1997-09-30","1997-11-10","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"1997","Coho","7961","0","7961","10","0","10","7971","10","1997-09-30","1997-11-24","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"1998","Chinook","4867","0","4867","24","0","24","4891","19","1998-09-18","1998-11-02","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"1998","Coho","3384","0","3384","522","0","522","3906","8","1998-11-02","1998-11-30","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"1999","Chinook","2189","0","2189","57","0","57","2246","6","1999-09-27","1999-11-08","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"1999","Coho","2963","0","2963","192","0","192","3155","8","1999-09-27","1999-11-08","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2000","Chinook","3686","0","3686","458","0","458","4144","8","2000-09-30","2000-10-23","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2000","Coho","27225","0","27225","65","0","65","27290","14","2000-09-30","2000-11-27","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2001","Chinook","10451","0","10451","287","0","287","10738","9","2001-09-30","2001-11-04","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2001","Coho","35259","0","35259","530","0","530","35789","9","2001-09-30","2001-11-19","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2002","Chinook","5620","0","5620","283","0","283","5903","13","2002-09-30","2002-11-27","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2002","Coho","1284","0","1284","199","0","199","1483","7","2002-09-30","2002-12-03","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
