model_id,analysis_id,family,sensitivity_id,species,term,n_full,n_refit,excluded_year,excluded_cooks_distance,full_coefficient,full_hc3_ci_low,full_hc3_ci_high,refit_coefficient,refit_hc3_ci_low,refit_hc3_ci_high,sign_changed
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,z_t2_window_mean_c,29,28,1999,0.1555030622,-0.2422220624,-0.4633417778,-0.02110234698,-0.2818710719,-0.5027118785,-0.06103026534,False
A3_t2_primary,A3,primary_salmon_temperature,t2_primary,Coho,z_t2_window_mean_c,29,28,2014,0.370062275,-0.02443775369,-0.4318079051,0.3829323977,-0.1446913193,-0.5143694588,0.2249868202,False
A5_t2_primary,A5,primary_salmon_temperature,t2_primary,Coho,z_t2_window_mean_c,29,28,2010,0.4497777414,-0.09577674532,-0.5444953841,0.3529418934,-0.2198945813,-0.6071241688,0.1673350062,False
A6_frozen_primary,A6,mechanism,frozen_primary,not_applicable,z_swe_apr01_inches,29,28,1997,1.068320335,0.1040461563,-0.06161068636,0.2697029989,0.02872669639,-0.06686757833,0.1243209711,False
A7_frozen_primary,A7,mechanism,frozen_primary,not_applicable,z_log_matched_flow_cfs,31,30,2022,0.1262585425,-0.2431483748,-0.382649932,-0.1036468176,-0.274702106,-0.4036899785,-0.1457142336,False
A2_window_alternative,A2,window_sensitivity,window_alternative,Chinook,z_t2_window_mean_c,29,28,2022,0.2940246826,-0.2142520646,-0.4591628843,0.03065875525,-0.2592797884,-0.4619187729,-0.05664080402,False
A4_window_alternative,A4,window_sensitivity,window_alternative,Coho,z_t2_window_mean_c,29,28,2014,0.2945758335,-0.0608166698,-0.4687049361,0.3470715965,-0.1676992667,-0.5152930696,0.1798945363,False
A1_t1_replacement,A1,model_form_sensitivity,t1_replacement,Chinook,z_t1_window_mean_c,29,28,1999,0.1541414826,-0.2462607563,-0.4645854255,-0.02793608704,-0.2855093033,-0.5039473372,-0.06707126938,False
A3_t1_replacement,A3,model_form_sensitivity,t1_replacement,Coho,z_t1_window_mean_c,29,28,2014,0.3895175512,-0.01356686777,-0.4356945696,0.408560834,-0.1371730125,-0.5208209012,0.2464748762,False
A5_t1_replacement,A5,model_form_sensitivity,t1_replacement,Coho,z_t1_window_mean_c,29,28,2010,0.4566296546,-0.09852634159,-0.5509342289,0.3538815457,-0.2239184612,-0.6191578495,0.171320927,False
A1_adults_plus_jacks,A1,outcome_sensitivity,adults_plus_jacks,Chinook,z_t2_window_mean_c,29,28,2022,0.1670369536,-0.2435800932,-0.4635616085,-0.02359857786,-0.2796062831,-0.487932901,-0.07127966529,False
A3_adults_plus_jacks,A3,outcome_sensitivity,adults_plus_jacks,Coho,z_t2_window_mean_c,29,28,2014,0.3669367661,-0.01854718944,-0.4105384694,0.3734440905,-0.1312284772,-0.504170578,0.2417136236,False
A5_adults_plus_jacks,A5,outcome_sensitivity,adults_plus_jacks,Coho,z_t2_window_mean_c,29,28,2010,0.3902848367,-0.1132210375,-0.5339095581,0.3074674832,-0.2209257595,-0.5984618236,0.1566103046,False
A1_no_t2_extrapolation_rows,A1,extrapolation_sensitivity,no_t2_extrapolation_rows,Chinook,z_t2_window_mean_c,21,20,1999,0.2062412116,-0.2737412142,-0.5056174469,-0.04186498145,-0.3211838665,-0.5584468024,-0.08392093071,False
A3_no_t2_extrapolation_rows,A3,extrapolation_sensitivity,no_t2_extrapolation_rows,Coho,z_t2_window_mean_c,23,22,2014,0.5535156647,-0.0799285095,-0.5763031368,0.4164461178,-0.2294097334,-0.6745182066,0.2156987397,False
A5_no_t2_extrapolation_rows,A5,extrapolation_sensitivity,no_t2_extrapolation_rows,Coho,z_t2_window_mean_c,15,14,2001,0.3590000852,0.07201152583,-0.5877632515,0.7317863032,0.2802445536,-0.3473176997,0.9078068069,False
A8_chinook_temperature_plus_flow,A8,secondary_combined_model,a1_rows,Chinook,z_t2_window_mean_c,29,28,2004,0.6111661712,-0.2395563169,-0.4779923804,-0.001120253287,-0.1850710071,-0.3958747606,0.02573274627,False
A8_chinook_temperature_plus_flow,A8,secondary_combined_model,a1_rows,Chinook,z_log_matched_flow_cfs,29,28,2004,0.6111661712,-0.03491308525,-0.307386439,0.2375602685,-0.1389489716,-0.2738303875,-0.004067555641,False
A8_coho_temperature_plus_flow,A8,secondary_combined_model,a3_rows,Coho,z_t2_window_mean_c,29,28,2010,0.2299503698,-0.03406749711,-0.4164552187,0.3483202245,-0.02522627081,-0.3734332473,0.3229807057,False
A8_coho_temperature_plus_flow,A8,secondary_combined_model,a3_rows,Coho,z_log_matched_flow_cfs,29,28,2010,0.2299503698,0.1670368773,-0.2066728843,0.5407466389,0.2653869813,-0.05148414161,0.5822581042,False
