analysis_id,species,removed_return_year,n,rho_primary_full,rho_leave_one_year_out,sign_changed_from_primary
A1,Chinook,1997,28,-0.4004926108,-0.4083196497,False
A1,Chinook,1998,28,-0.4004926108,-0.3979200876,False
A1,Chinook,1999,28,-0.4004926108,-0.5030103996,False
A1,Chinook,2000,28,-0.4004926108,-0.4351395731,False
A1,Chinook,2001,28,-0.4004926108,-0.3470169677,False
A1,Chinook,2002,28,-0.4004926108,-0.3836891078,False
A1,Chinook,2003,28,-0.4004926108,-0.4061302682,False
A1,Chinook,2004,28,-0.4004926108,-0.3645320197,False
A1,Chinook,2005,28,-0.4004926108,-0.3672687466,False
A1,Chinook,2006,28,-0.4004926108,-0.3782156541,False
A1,Chinook,2007,28,-0.4004926108,-0.3645320197,False
A1,Chinook,2008,28,-0.4004926108,-0.4203612479,False
A1,Chinook,2009,28,-0.4004926108,-0.4192665572,False
A1,Chinook,2010,28,-0.4004926108,-0.4203612479,False
A1,Chinook,2011,28,-0.4004926108,-0.3869731801,False
A1,Chinook,2012,28,-0.4004926108,-0.4088669951,False
A1,Chinook,2013,28,-0.4004926108,-0.3798576902,False
A1,Chinook,2014,28,-0.4004926108,-0.367816092,False
A1,Chinook,2015,28,-0.4004926108,-0.4028461959,False
A1,Chinook,2016,28,-0.4004926108,-0.3875205255,False
A1,Chinook,2017,28,-0.4004926108,-0.4006568144,False
A1,Chinook,2018,28,-0.4004926108,-0.3836891078,False
A1,Chinook,2019,28,-0.4004926108,-0.367816092,False
A1,Chinook,2020,28,-0.4004926108,-0.3754789272,False
A1,Chinook,2021,28,-0.4004926108,-0.4066776136,False
A1,Chinook,2022,28,-0.4004926108,-0.4537493158,False
A1,Chinook,2023,28,-0.4004926108,-0.4329501916,False
A1,Chinook,2024,28,-0.4004926108,-0.389709907,False
A1,Chinook,2025,28,-0.4004926108,-0.4384236453,False
A3,Coho,1997,28,-0.04384776484,-0.03612973895,False
A3,Coho,1998,28,-0.04384776484,-0.05200492727,False
A3,Coho,1999,28,-0.04384776484,-0.1100314777,False
A3,Coho,2000,28,-0.04384776484,-0.02901327521,False
A3,Coho,2001,28,-0.04384776484,0.04926782583,True
A3,Coho,2002,28,-0.04384776484,-0.125906666,False
A3,Coho,2003,28,-0.04384776484,-0.03776683087,False
A3,Coho,2004,28,-0.04384776484,-0.006021623158,False
A3,Coho,2005,28,-0.04384776484,-0.0295606955,False
A3,Coho,2006,28,-0.04384776484,-0.0295606955,False
A3,Coho,2007,28,-0.04384776484,-0.1319282892,False
A3,Coho,2008,28,-0.04384776484,-0.0654167243,False
A3,Coho,2009,28,-0.04384776484,-0.02353907234,False
A3,Coho,2010,28,-0.04384776484,-0.01368550718,False
A3,Coho,2011,28,-0.04384776484,-0.03366634765,False
A3,Coho,2012,28,-0.04384776484,-0.07280689818,False
A3,Coho,2013,28,-0.04384776484,-0.02408649263,False
A3,Coho,2014,28,-0.04384776484,-0.1264540863,False
A3,Coho,2015,28,-0.04384776484,0.01861228976,True
A3,Coho,2016,28,-0.04384776484,-0.01915708812,False
A3,Coho,2017,28,-0.04384776484,-0.04050910124,False
A3,Coho,2018,28,-0.04384776484,-0.03202408679,False
A3,Coho,2019,28,-0.04384776484,-0.03284521722,False
A3,Coho,2020,28,-0.04384776484,-0.02545504335,False
A3,Coho,2021,28,-0.04384776484,-0.03229779694,False
A3,Coho,2022,28,-0.04384776484,-0.06131107215,False
A3,Coho,2023,28,-0.04384776484,-0.07444915904,False
A3,Coho,2024,28,-0.04384776484,-0.04187765196,False
A3,Coho,2025,28,-0.04384776484,-0.02791843464,False
A5,Coho,1997,28,-0.2019704433,-0.1948549535,False
A5,Coho,1998,28,-0.2019704433,-0.2534209086,False
A5,Coho,1999,28,-0.2019704433,-0.2517788725,False
A5,Coho,2000,28,-0.2019704433,-0.1959496442,False
A5,Coho,2001,28,-0.2019704433,-0.1209633279,False
A5,Coho,2002,28,-0.2019704433,-0.3114395183,False
A5,Coho,2003,28,-0.2019704433,-0.2118226601,False
A5,Coho,2004,28,-0.2019704433,-0.1559934319,False
A5,Coho,2005,28,-0.2019704433,-0.1981390257,False
A5,Coho,2006,28,-0.2019704433,-0.1981390257,False
A5,Coho,2007,28,-0.2019704433,-0.2736726875,False
A5,Coho,2008,28,-0.2019704433,-0.2030651341,False
A5,Coho,2009,28,-0.2019704433,-0.1910235359,False
A5,Coho,2010,28,-0.2019704433,-0.2993979201,False
A5,Coho,2011,28,-0.2019704433,-0.197044335,False
A5,Coho,2012,28,-0.2019704433,-0.1483305966,False
A5,Coho,2013,28,-0.2019704433,-0.1685823755,False
A5,Coho,2014,28,-0.2019704433,-0.1691297209,False
A5,Coho,2015,28,-0.2019704433,-0.1428571429,False
A5,Coho,2016,28,-0.2019704433,-0.1746031746,False
A5,Coho,2017,28,-0.2019704433,-0.1735084839,False
A5,Coho,2018,28,-0.2019704433,-0.1981390257,False
A5,Coho,2019,28,-0.2019704433,-0.2052545156,False
A5,Coho,2020,28,-0.2019704433,-0.1871921182,False
A5,Coho,2021,28,-0.2019704433,-0.223316913,False
A5,Coho,2022,28,-0.2019704433,-0.2019704433,False
A5,Coho,2023,28,-0.2019704433,-0.2140120416,False
A5,Coho,2024,28,-0.2019704433,-0.1937602627,False
A5,Coho,2025,28,-0.2019704433,-0.1959496442,False
