model_id,analysis_id,family,sensitivity_id,species,outcome,outcome_scale,n,term,coefficient,hc3_standard_error,hc3_ci_low,hc3_ci_high,hc3_p_value,predictor_transformed_mean,predictor_transformed_sample_sd,fitted_percent_count_difference_per_1sd
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,total_adults,log1p,29,const,8.329959748,0.1001862094,8.124394626,8.53552487,4.446708216e-34,,,
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,total_adults,log1p,29,z_t2_window_mean_c,-0.2422220624,0.1077670469,-0.4633417778,-0.02110234698,0.03297053274,14.482,0.5498729074,-21.51181346
A3_t2_primary,A3,primary_salmon_temperature,t2_primary,Coho,total_adults,log1p,29,const,8.673004335,0.1806450516,8.302351306,9.043657365,1.105229542e-27,,,
A3_t2_primary,A3,primary_salmon_temperature,t2_primary,Coho,total_adults,log1p,29,z_t2_window_mean_c,-0.02443775369,0.1985398639,-0.4318079051,0.3829323977,0.902949577,11.68948276,0.5349201957,-2.414156938
A5_t2_primary,A5,primary_salmon_temperature,t2_primary,Coho,total_adults,log1p,29,const,8.673004335,0.1817345448,8.300115851,9.04589282,1.297680798e-27,,,
A5_t2_primary,A5,primary_salmon_temperature,t2_primary,Coho,total_adults,log1p,29,z_t2_window_mean_c,-0.09577674532,0.2186918633,-0.5444953841,0.3529418934,0.6649042021,14.63124138,0.5379193816,-9.133314245
A6_frozen_primary,A6,mechanism,frozen_primary,not_applicable,flow_jul_sep_mean_cfs,log,29,const,3.400594797,0.05485742998,3.288036648,3.513152946,1.184100401e-30,,,
A6_frozen_primary,A6,mechanism,frozen_primary,not_applicable,flow_jul_sep_mean_cfs,log,29,z_swe_apr01_inches,0.1040461563,0.08073612381,-0.06161068636,0.2697029989,0.2084292836,37.18965517,16.31522831,
A7_frozen_primary,A7,mechanism,frozen_primary,not_applicable,primary_thermal_value_c,identity,31,const,14.65425806,0.08742403807,14.47545583,14.8330603,7.241457363e-45,,,
A7_frozen_primary,A7,mechanism,frozen_primary,not_applicable,primary_thermal_value_c,identity,31,z_log_matched_flow_cfs,-0.2431483748,0.06820826099,-0.382649932,-0.1036468176,0.001285151607,3.663709136,0.3404531277,
