model_id,analysis_id,family,sensitivity_id,species,year,observed_model_scale,fitted_model_scale,residual_model_scale,externally_studentized_residual,leverage,cooks_distance,cooks_threshold_4_over_n,cooks_flag
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,1997,8.246958033,8.342293903,-0.09533587034,-0.1836742681,0.0345753634,0.0006265305901,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,1998,8.490438454,8.33965087,0.1507875844,0.2907857186,0.0345399279,0.001565609938,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,1999,7.691656823,8.612323799,-0.9206669766,-1.94689546,0.08301533908,0.1555030622,0.1379310345,True
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,2000,8.212568398,8.772667816,-0.560099418,-1.182409481,0.153785232,0.1251939334,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,2001,9.254548627,8.719807151,0.5347414753,1.107957529,0.1269959932,0.08854109625,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,2002,8.634264863,8.577523862,0.05674100133,0.1114415396,0.07178972668,0.000498497701,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,2003,8.655737001,8.32379267,0.3319443307,0.6441666981,0.03450590981,0.007579217405,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,2004,9.455010554,8.558582123,0.8964284304,1.869224791,0.06629923202,0.1135596171,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,2005,8.830689199,8.595584589,0.2351046099,0.4649750776,0.07743164905,0.009344225369,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,2006,9.095378354,8.444491188,0.6508871651,1.298502659,0.04246755821,0.03646374932,0.1379310345,False
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,2007,9.505469645,8.540080891,0.9653887544,2.028771915,0.06135810574,0.1206080113,0.1379310345,False
