model_id,analysis_id,family,sensitivity_id,species,outcome,outcome_scale,n,parameters_including_intercept,adjusted_r_squared,maximum_cooks_distance,maximum_cooks_year,cooks_threshold_4_over_n,cooks_flag_count
A1_t2_primary,A1,primary_salmon_temperature,t2_primary,Chinook,total_adults,log1p,29,2,0.1542168595,0.1555030622,1999,0.1379310345,2
A3_t2_primary,A3,primary_salmon_temperature,t2_primary,Coho,total_adults,log1p,29,2,-0.03630405141,0.370062275,2014,0.1379310345,3
A5_t2_primary,A5,primary_salmon_temperature,t2_primary,Coho,total_adults,log1p,29,2,-0.02577821275,0.4497777414,2010,0.1379310345,3
A6_frozen_primary,A6,mechanism,frozen_primary,not_applicable,flow_jul_sep_mean_cfs,log,29,2,0.09686919472,1.068320335,1997,0.1379310345,2
A7_frozen_primary,A7,mechanism,frozen_primary,not_applicable,primary_thermal_value_c,identity,31,2,0.1842365408,0.1262585425,2022,0.1290322581,0
A2_window_alternative,A2,window_sensitivity,window_alternative,Chinook,total_adults,log1p,29,2,0.1125978733,0.2940246826,2022,0.1379310345,3
A4_window_alternative,A4,window_sensitivity,window_alternative,Coho,total_adults,log1p,29,2,-0.03249743103,0.2945758335,2014,0.1379310345,3
A1_t1_replacement,A1,model_form_sensitivity,t1_replacement,Chinook,total_adults,log1p,29,2,0.1606477797,0.1541414826,1999,0.1379310345,2
A3_t1_replacement,A3,model_form_sensitivity,t1_replacement,Coho,total_adults,log1p,29,2,-0.0368111288,0.3895175512,2014,0.1379310345,3
A5_t1_replacement,A5,model_form_sensitivity,t1_replacement,Coho,total_adults,log1p,29,2,-0.02512248809,0.4566296546,2010,0.1379310345,3
A1_adults_plus_jacks,A1,outcome_sensitivity,adults_plus_jacks,Chinook,adult_plus_jacks,log1p,29,2,0.156852394,0.1670369536,2022,0.1379310345,2
A3_adults_plus_jacks,A3,outcome_sensitivity,adults_plus_jacks,Coho,adult_plus_jacks,log1p,29,2,-0.0365551473,0.3669367661,2014,0.1379310345,3
A5_adults_plus_jacks,A5,outcome_sensitivity,adults_plus_jacks,Coho,adult_plus_jacks,log1p,29,2,-0.01907954336,0.3902848367,2010,0.1379310345,3
A1_no_t2_extrapolation_rows,A1,extrapolation_sensitivity,no_t2_extrapolation_rows,Chinook,total_adults,log1p,21,2,0.2268519854,0.2062412116,1999,0.1904761905,2
A3_no_t2_extrapolation_rows,A3,extrapolation_sensitivity,no_t2_extrapolation_rows,Coho,total_adults,log1p,23,2,-0.03974844691,0.5535156647,2014,0.1739130435,3
A5_no_t2_extrapolation_rows,A5,extrapolation_sensitivity,no_t2_extrapolation_rows,Coho,total_adults,log1p,15,2,-0.0727415368,0.3590000852,2001,0.2666666667,2
A1_highest_cook_removed,A1,influence_sensitivity,highest_cook_removed,Chinook,total_adults,log1p,28,2,0.2240585702,0.2224696455,2000,0.1428571429,2
A3_highest_cook_removed,A3,influence_sensitivity,highest_cook_removed,Coho,total_adults,log1p,28,2,-0.01265760107,0.2047520401,2001,0.1428571429,2
A5_highest_cook_removed,A5,influence_sensitivity,highest_cook_removed,Coho,total_adults,log1p,28,2,0.04828008752,0.5139570066,2002,0.1428571429,2
A8_chinook_temperature_plus_flow,A8,secondary_combined_model,a1_rows,Chinook,total_adults,log1p,29,3,0.1257888786,0.6111661712,2004,0.1379310345,1
A8_coho_temperature_plus_flow,A8,secondary_combined_model,a3_rows,Coho,total_adults,log1p,29,3,-0.0407179409,0.2299503698,2010,0.1379310345,3
