family,analysis_id,sensitivity_id,analysis_label,species,predictor,outcome,n,expected_direction,inference_sidedness,expected_direction_role,observed_direction,direction_matches_expected,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,bootstrap_repetitions,bootstrap_finite_estimates,bootstrap_seed,permutation_p_raw,permutation_extreme_count,permutation_repetitions,permutation_seed,p_adjustment_family,permutation_p_holm,passes_family_alpha_0_05,ols_model_id,ols_main_term,ols_beta,ols_hc3_ci_low,ols_hc3_ci_high,ols_hc3_p_value,ols_fitted_percent_count_difference_per_1sd,maximum_cooks_year,maximum_cooks_distance,t2_extrapolation_flagged_rows,t2_extrapolation_days_total,excluded_primary_highest_cooks_year
window_sensitivity,A2,window_alternative,Chinook window sensitivity: Aug 15-Oct 31,Chinook,T2 alternative-window mean proxy (C),total_adults,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.3268875502,-0.6414364593,0.05346534653,10000,10000,20260925,0.08331916681,8331,100000,20260825,none_descriptive,,False,A2_window_alternative,z_t2_window_mean_c,-0.2142520646,-0.4591628843,0.03065875525,0.08386108567,-19.28550932,2022,0.2940246826,12,16,
window_sensitivity,A4,window_alternative,Coho window sensitivity: Sep 15-Nov 30,Coho,T2 alternative-window mean proxy (C),total_adults,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.1753694581,-0.5485424863,0.2351499611,10000,10000,20260927,0.3611263887,36112,100000,20260827,none_descriptive,,False,A4_window_alternative,z_t2_window_mean_c,-0.0608166698,-0.4687049361,0.3470715965,0.7620039842,-5.90042631,2014,0.2945758335,14,27,
model_form_sensitivity,A1,t1_replacement,Chinook adult migration: Aug 15-Sep 30 (T1 replacement),Chinook,T1 biological-window mean proxy (C),total_adults,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.3995073892,-0.6773938207,-0.04870972342,10000,10000,20260924,0.0322696773,3226,100000,20260824,none_descriptive,,False,A1_t1_replacement,z_t1_window_mean_c,-0.2462607563,-0.4645854255,-0.02793608704,0.02849279984,-21.82816396,1999,0.1541414826,8,11,
model_form_sensitivity,A3,t1_replacement,Coho adult migration: Sep 15-Oct 31 (T1 replacement),Coho,T1 biological-window mean proxy (C),total_adults,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.04729064039,-0.455187639,0.3683174816,10000,10000,20260926,0.8082719173,80827,100000,20260826,none_descriptive,,False,A3_t1_replacement,z_t1_window_mean_c,-0.01356686777,-0.4356945696,0.408560834,0.9479080461,-1.347525259,2014,0.3895175512,6,7,
model_form_sensitivity,A5,t1_replacement,Coho juvenile/rearing: Jun-Sep at return year minus 2 (T1 replacement),Coho,T1 biological-window mean proxy (C),total_adults,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.1881773399,-0.5964582197,0.2485750395,10000,10000,20260928,0.3253767462,32537,100000,20260828,none_descriptive,,False,A5_t1_replacement,z_t1_window_mean_c,-0.09852634159,-0.5509342289,0.3538815457,0.6585458325,-9.38281777,2010,0.4566296546,14,47,
outcome_sensitivity,A1,adults_plus_jacks,Chinook adult migration: Aug 15-Sep 30 (adults + jacks),Chinook,T2 biological-window mean proxy (C),adult_plus_jacks,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.3906403941,-0.6725313543,-0.02280839843,10000,10000,20260924,0.0362696373,3626,100000,20260824,none_descriptive,,False,A1_adults_plus_jacks,z_t2_window_mean_c,-0.2435800932,-0.4635616085,-0.02359857786,0.03127129748,-21.61833048,2022,0.1670369536,8,11,
outcome_sensitivity,A3,adults_plus_jacks,Coho adult migration: Sep 15-Oct 31 (adults + jacks),Coho,T2 biological-window mean proxy (C),adult_plus_jacks,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.02635792605,-0.4218498408,0.3745226441,10000,10000,20260926,0.8928610714,89286,100000,20260826,none_descriptive,,False,A3_adults_plus_jacks,z_t2_window_mean_c,-0.01854718944,-0.4105384694,0.3734440905,0.9233775603,-1.837624877,2014,0.3669367661,6,7,
outcome_sensitivity,A5,adults_plus_jacks,Coho juvenile/rearing: Jun-Sep at return year minus 2 (adults + jacks),Coho,T2 biological-window mean proxy (C),adult_plus_jacks,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.1931034483,-0.5962424306,0.2422761366,10000,10000,20260928,0.3121468785,31214,100000,20260828,none_descriptive,,False,A5_adults_plus_jacks,z_t2_window_mean_c,-0.1132210375,-0.5339095581,0.3074674832,0.5853438745,-10.70467378,2010,0.3902848367,14,47,
extrapolation_sensitivity,A1,no_t2_extrapolation_rows,Chinook adult migration: Aug 15-Sep 30 (T2 unflagged rows only),Chinook,T2 biological-window mean proxy (C),total_adults,21,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.4428571429,-0.7703848663,0.01380380845,10000,10000,20260924,0.0459495405,4594,100000,20260824,none_descriptive,,False,A1_no_t2_extrapolation_rows,z_t2_window_mean_c,-0.2737412142,-0.5056174469,-0.04186498145,0.02311233145,-23.94711361,1999,0.2062412116,0,0,
extrapolation_sensitivity,A3,no_t2_extrapolation_rows,Coho adult migration: Sep 15-Oct 31 (T2 unflagged rows only),Coho,T2 biological-window mean proxy (C),total_adults,23,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,negative,True,-0.137385722,-0.523533071,0.3011762254,10000,10000,20260926,0.5302146979,53021,100000,20260826,none_descriptive,,False,A3_no_t2_extrapolation_rows,z_t2_window_mean_c,-0.0799285095,-0.5763031368,0.4164461178,0.7410457534,-7.681765721,2014,0.5535156647,0,0,
