analysis_id,analysis_role,species,sensitivity_type,sensitivity_id,sensitivity_metric,n,expected_sign,inference_sidedness,expected_direction_role,primary_spearman_rho,sensitivity_rho,raw_permutation_p,bootstrap_ci_lower,bootstrap_ci_upper,ols_beta,hc3_ci_lower,hc3_ci_upper,percent_difference_per_sd,expected_direction_matched,excluded_return_year,predictor_raw_lag1_rank_autocorrelation,outcome_raw_lag1_rank_autocorrelation,predictor_residual_lag1_autocorrelation,outcome_residual_lag1_autocorrelation,temporal_direction_status,temporal_magnitude_change_pct,circular_shift_status,circular_shift_exact_two_sided_p,inference_status
A2,sensitivity_only,Chinook,alternate_window,window_alternative,spearman_rho,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.3268875502,0.08331916681,-0.6414364593,0.05346534653,-0.2142520646,-0.4591628843,0.03065875525,-19.28550932,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A4,sensitivity_only,Coho,alternate_window,window_alternative,spearman_rho,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.1753694581,0.3611263887,-0.5485424863,0.2351499611,-0.0608166698,-0.4687049361,0.3470715965,-5.90042631,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A1,sensitivity_only,Chinook,T1,t1_replacement,spearman_rho,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.3995073892,0.0322696773,-0.6773938207,-0.04870972342,-0.2462607563,-0.4645854255,-0.02793608704,-21.82816396,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A3,sensitivity_only,Coho,T1,t1_replacement,spearman_rho,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.04729064039,0.8082719173,-0.455187639,0.3683174816,-0.01356686777,-0.4356945696,0.408560834,-1.347525259,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A5,sensitivity_only,Coho,T1,t1_replacement,spearman_rho,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.1881773399,0.3253767462,-0.5964582197,0.2485750395,-0.09852634159,-0.5509342289,0.3538815457,-9.38281777,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A1,sensitivity_only,Chinook,jack_inclusive,adults_plus_jacks,spearman_rho,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.3906403941,0.0362696373,-0.6725313543,-0.02280839843,-0.2435800932,-0.4635616085,-0.02359857786,-21.61833048,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A3,sensitivity_only,Coho,jack_inclusive,adults_plus_jacks,spearman_rho,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.02635792605,0.8928610714,-0.4218498408,0.3745226441,-0.01854718944,-0.4105384694,0.3734440905,-1.837624877,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A5,sensitivity_only,Coho,jack_inclusive,adults_plus_jacks,spearman_rho,29,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.1931034483,0.3121468785,-0.5962424306,0.2422761366,-0.1132210375,-0.5339095581,0.3074674832,-10.70467378,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A1,sensitivity_only,Chinook,extrapolation_exclusion,no_t2_extrapolation_rows,spearman_rho,21,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.4428571429,0.0459495405,-0.7703848663,0.01380380845,-0.2737412142,-0.5056174469,-0.04186498145,-23.94711361,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
A3,sensitivity_only,Coho,extrapolation_exclusion,no_t2_extrapolation_rows,spearman_rho,23,negative,two_sided,prespecified_reporting_only_not_pvalue_tail,,-0.137385722,0.5302146979,-0.523533071,0.3011762254,-0.0799285095,-0.5763031368,0.4164461178,-7.681765721,True,,,,,,not_applicable,,not_applicable,,descriptive_unadjusted_sensitivity
