species,model_id,n,parameters_including_intercept,alpha,residual_shapiro_w,residual_shapiro_p,durbin_watson,max_cooks_distance,max_cooks_year,max_vif
Chinook,migration_marine_ols,29,4,0.0,0.9625492005278716,0.3792214620705563,1.3464738252428503,0.3398922253047952,1997,1.110094656621077
Chinook,freshwater_marine_ols,29,4,0.0,0.9624930839300283,0.37804643683961725,1.3718665376101795,0.16765100077072823,2007,1.2042151831582082
Chinook,all_environment_ridge,29,6,100.0,0.9573875350026936,0.2830026036291773,1.022878970430703,0.04427450354500366,2001,1.35993512506049
Chinook,ocean_index_ols,29,4,0.0,0.9687061145726035,0.5251424063837833,0.9852005934195811,0.18441147758703147,2004,2.2992228028073938
Chinook,all_environment_ocean_ridge,29,8,100.0,0.9539730475664527,0.23178249214720936,1.0266548279864198,0.036833371488151724,2001,2.7502778525762337
Coho,migration_marine_ols,29,4,0.0,0.9335892478211465,0.06818011758760104,2.159729870501261,0.5570242643781969,2010,1.0702212441063577
Coho,freshwater_marine_ols,29,4,0.0,0.9408340550021612,0.10544201450205776,2.125235883339552,0.5004518717642595,2010,1.1590626202022285
Coho,all_environment_ridge,29,6,100.0,0.9454177797753114,0.13901550072914398,2.1541720289048456,0.12344076985978603,2010,1.4005630139911183
Coho,ocean_index_ols,29,4,0.0,0.9377840027201458,0.08773183992714922,2.167988878939664,0.2320498494736816,2010,1.6410821700406029
Coho,all_environment_ocean_ridge,29,8,10.0,0.9481325906280869,0.16367006546745688,2.163806415827748,0.3179820335700084,2010,1.7947819447939057
