species,model_id,excluded_year,feature,full_coefficient,excluded_year_coefficient,absolute_change,sign_changed
Chinook,migration_marine_ols,1997,flow_jul_sep_mean_cfs,-0.12176185809030629,-0.1752250108475214,0.05346315275721511,False
Chinook,migration_marine_ols,1997,temp_jun_sep_mean_c,-0.14789283335285164,-0.17069286840473907,0.022800035051887435,False
Chinook,migration_marine_ols,1997,marine_pdo_mean,-0.09830978021397935,-0.1221959017946167,0.023886121580637354,False
Chinook,freshwater_marine_ols,2007,cohort_flow_water_year_mean_cfs,-0.11078492158053956,-0.04447536153295589,0.06630956004758366,False
Chinook,freshwater_marine_ols,2007,cohort_swe_apr01_inches,0.27332056524202264,0.27224665869755227,0.001073906544470371,False
Chinook,freshwater_marine_ols,2007,marine_pdo_mean,-0.0768326654076525,-0.08662460504826798,0.009791939640615477,False
Chinook,all_environment_ridge,2001,flow_jul_sep_mean_cfs,-0.027615513255080066,-0.027543871923250474,7.164133182959234e-05,False
Chinook,all_environment_ridge,2001,temp_jun_sep_mean_c,-0.021773576240331386,-0.01815114087286418,0.003622435367467206,False
Chinook,all_environment_ridge,2001,cohort_flow_water_year_mean_cfs,-0.004281183282875107,-0.018026550862625057,0.01374536757974995,False
Chinook,all_environment_ridge,2001,cohort_swe_apr01_inches,0.0523019084572361,0.03849825030536297,0.013803658151873129,False
Chinook,all_environment_ridge,2001,marine_pdo_mean,-0.016702927570646904,-0.014066146961373482,0.0026367806092734217,False
Coho,migration_marine_ols,2010,flow_jul_sep_mean_cfs,-0.04957126667487855,0.15814970174404097,0.20772096841891952,True
Coho,migration_marine_ols,2010,temp_jun_sep_mean_c,-0.049808361372170304,-0.12818963118482019,0.07838126981264988,False
Coho,migration_marine_ols,2010,marine_pdo_mean,-0.19790455483327607,-0.2965971956362277,0.09869264080295165,False
Coho,freshwater_marine_ols,2010,cohort_flow_water_year_mean_cfs,0.09370098478402146,-0.06415520801476271,0.15785619279878416,True
Coho,freshwater_marine_ols,2010,cohort_swe_apr01_inches,-0.02715059062278225,0.18710827202886793,0.21425886265165017,True
Coho,freshwater_marine_ols,2010,marine_pdo_mean,-0.20391900656367845,-0.23094057587281835,0.027021569309139903,False
Coho,all_environment_ridge,2010,flow_jul_sep_mean_cfs,-0.016928770895786704,0.023270792192178535,0.04019956308796524,True
Coho,all_environment_ridge,2010,temp_jun_sep_mean_c,-0.0035846324801412947,-0.018212892206773745,0.01462825972663245,False
Coho,all_environment_ridge,2010,cohort_flow_water_year_mean_cfs,0.01695680459760681,-0.0034452661454625515,0.02040207074306936,True
Coho,all_environment_ridge,2010,cohort_swe_apr01_inches,0.0020934881717719106,0.03307440909716785,0.03098092092539594,False
Coho,all_environment_ridge,2010,marine_pdo_mean,-0.04393982825021028,-0.05330364836315567,0.009363820112945384,False
