scenario,year,median_adults,lower_90,upper_90
higher_input,2026,4867.860631603733,0.0,13549.04338593815
higher_input,2027,5024.678473576589,0.0,13547.358865501446
higher_input,2028,5175.104065174402,0.0,13553.751453138824
higher_input,2029,5337.327035779936,0.0,13543.163070966626
higher_input,2030,5243.503178413011,0.0,13370.791523129794
higher_input,2031,5428.365967961598,0.0,13627.469835302614
higher_input,2032,5266.308312930405,0.0,13626.326705374599
higher_input,2033,5420.022402326566,0.0,13610.649942951828
higher_input,2034,5510.867884104213,0.0,13668.805477540845
higher_input,2035,5563.54035372611,0.0,13711.500430515667
higher_input,2036,5522.461205874086,0.0,13564.697936644769
higher_input,2037,5715.5946319263685,0.0,13736.416002605816
higher_input,2038,5840.633407452108,0.0,14030.234819749854
higher_input,2039,5798.272691422617,0.0,13855.643878567826
higher_input,2040,5964.087797838587,0.0,14153.039993689288
lower_input,2026,6959.042278530034,1299.6096867629888,15267.827556300537
lower_input,2027,6790.884561292411,0.0,15591.830128058227
lower_input,2028,6963.099625479208,0.0,15507.037268838698
lower_input,2029,7149.07413952044,0.0,15913.160823748456
lower_input,2030,7189.601244122706,0.0,15875.81003695001
lower_input,2031,7374.088978517735,0.0,15843.719309693002
lower_input,2032,7286.555076856327,0.0,16196.643904986639
lower_input,2033,7430.87436917973,0.0,16115.775855768632
lower_input,2034,7650.0307893196605,0.0,16574.98289354795
lower_input,2035,7797.077682839399,0.0,16358.72201250846
lower_input,2036,7936.5381372561815,0.0,15917.929715005397
lower_input,2037,8043.201069898121,0.0,16258.00810036307
lower_input,2038,8202.915107073231,2048.131630890904,17111.075873461403
lower_input,2039,8323.92185071415,0.0,16929.42299327288
lower_input,2040,8003.186882038763,0.0,16962.374095712996
trend_only,2026,5753.13720551732,0.0,14100.574309110494
trend_only,2027,6028.020204265399,0.0,14249.941544345447
trend_only,2028,5954.767223179031,0.0,14108.090503779129
trend_only,2029,6042.763219158207,0.0,14315.708797417028
trend_only,2030,6246.556234685719,0.0,14565.31005702359
trend_only,2031,6113.736844174977,0.0,14081.699612234157
trend_only,2032,6283.093025832555,0.0,14732.239132842573
trend_only,2033,6406.705589458873,0.0,14677.63485468175
trend_only,2034,6673.756409678981,0.0,14706.972931324495
trend_only,2035,6448.972104501136,0.0,14663.550741101373
trend_only,2036,6681.458960084516,0.0,15303.433171663137
trend_only,2037,6698.702391256287,0.0,14844.324795009445
trend_only,2038,6828.140164672499,0.0,14915.437961079972
trend_only,2039,6872.090751162825,0.0,15070.065081967376
trend_only,2040,7179.717652312778,0.0,15152.587901930036
