species,model_id,scenario,year,median_adults,lower_90,upper_90,draws,input_basis
Coho,all_environment_ocean_ridge,higher_input,2026,5103.05239128394,0.0,12591.650060542916,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2027,5138.957961728367,0.0,12443.172754682757,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2028,5189.951335319889,0.0,12594.593333709612,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2029,5403.218254155438,0.0,12734.809059044477,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2030,5273.054328765579,0.0,12709.423911142698,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2031,5428.365967961598,0.0,13061.23817592697,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2032,5181.691186045603,0.0,12510.637926295294,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2033,5283.905987697271,0.0,12819.766026201833,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2034,5510.867884104213,0.0,12846.397105685,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2035,5251.349231220216,0.0,12654.113176259776,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2036,5522.461205874086,0.0,12827.806804414138,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2037,5314.403716210551,0.0,12602.645858622564,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2038,5449.847774559739,0.0,13391.024265879187,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2039,5599.154328798041,0.0,13001.656439822185,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,higher_input,2040,5760.435540409826,0.0,12841.602072462196,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2026,6901.996498471819,0.0,14100.574309110494,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2027,7487.806115514059,0.0,14528.135854853108,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2028,6953.138484671251,0.0,14108.090503779129,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2029,7048.603348471423,0.0,14315.708797417028,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2030,7164.105458239155,0.0,14565.31005702359,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2031,6915.793644933891,0.0,13936.422719708582,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2032,7609.745931190102,0.0,14732.239132842573,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2033,7184.109352253896,0.0,13840.48232979649,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2034,7266.850191481624,0.0,14628.497079795041,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2035,7357.882516258592,0.0,14527.378778340199,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2036,7349.854675515298,0.0,15303.433171663137,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2037,7429.534214112673,0.0,14702.526513668006,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2038,7259.753875813479,0.0,14762.4709069074,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2039,7646.688763380253,0.0,14641.05718734756,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,trend_only,2040,7576.923041073299,0.0,15152.587901930036,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,lower_input,2026,9675.138947671601,1705.1089103973657,16745.782715412333,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,lower_input,2027,9720.866614530667,1618.2280726085214,16996.240880726742,1000,Theil-Sen observed trend plus residual variability
Coho,all_environment_ocean_ridge,lower_input,2028,9767.89054169974,1635.7409844332856,17244.594280679354,1000,Theil-Sen observed trend plus residual variability
