scenario,year,predicted_adults,lower_empirical,upper_empirical,species,model_set
central,2026,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2027,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2028,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2029,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2030,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2031,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2032,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2033,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2034,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2035,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2036,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2037,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2038,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2039,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
central,2040,5837.423801100305,0.0,13075.23420206729,Coho,three retained Phase 4 candidates
high,2026,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2027,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2028,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2029,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2030,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2031,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2032,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2033,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2034,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2035,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2036,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2037,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2038,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2039,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
high,2040,4844.426640287129,0.0,12329.437419118723,Coho,three retained Phase 4 candidates
low,2026,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2027,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2028,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2029,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2030,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2031,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2032,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2033,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2034,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2035,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2036,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2037,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2038,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2039,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
low,2040,6785.076585055878,0.0,14270.087363887473,Coho,three retained Phase 4 candidates
