species,response,predictor,n,spearman_rho,p_value,block_bootstrap_ci_low,block_bootstrap_ci_high,block_length_years,p_fdr_bh,passes_fdr_0_05
Chinook,total_adults,flow_jul_sep_mean_cfs,29,-0.32118226600985217,0.08934082553710256,-0.5587061297987671,0.04632231740586575,3,0.3971985173172637,False
Chinook,total_adults,temp_jun_sep_mean_c,29,-0.3002832883966779,0.11348529066207534,-0.5925888932409135,-0.01364053629256295,3,0.3971985173172637,False
Chinook,total_adults,cohort_flow_water_year_mean_cfs,29,0.015270935960591127,0.9373320606476712,-0.21281318833905508,0.3732289547826691,3,0.9615673193952551,False
Chinook,total_adults,cohort_swe_apr01_inches,29,0.2340189696282559,0.22176406649231,-0.1158588016695651,0.5794500716678139,3,0.5607858613194004,False
Chinook,total_adults,marine_pdo_mean,29,-0.1448275862068965,0.453508136446914,-0.5570312116692343,0.4061477514208047,3,0.907016272893828,False
Chinook,total_adults,marine_npgo_mean,29,0.11527093596059108,0.5515506379858525,-0.3635594177800681,0.591347047144923,3,0.9281445289814867,False
Chinook,total_adults,marine_oni_mean,29,-0.058128078817733984,0.7645484568231586,-0.5807120678903992,0.45882287231607344,3,0.946696346368877,False
Coho,total_adults,flow_jul_sep_mean_cfs,29,0.0940886699507389,0.6273396176916155,-0.35297565344303483,0.5031279160912244,3,0.9281445289814867,False
Coho,total_adults,temp_jun_sep_mean_c,29,-0.04631112241064433,0.8114540111733232,-0.3487178193083017,0.35674476709795816,3,0.946696346368877,False
Coho,total_adults,cohort_flow_water_year_mean_cfs,29,0.009359605911330046,0.9615673193952551,-0.3631761995729858,0.3896304883350237,3,0.9615673193952551,False
Coho,total_adults,cohort_swe_apr01_inches,29,0.08450357487297566,0.662960377843919,-0.2573129376861209,0.4232735536299955,3,0.9281445289814867,False
Coho,total_adults,marine_pdo_mean,29,-0.3600985221674876,0.05500675552969518,-0.6853966662772653,0.016377386827124342,3,0.38504728870786625,False
Coho,total_adults,marine_npgo_mean,29,0.22512315270935954,0.24033679770831448,-0.1020416855514908,0.5178245705005281,3,0.5607858613194004,False
Coho,total_adults,marine_oni_mean,29,-0.5093596059113299,0.0047699359859378005,-0.7403165043076363,-0.18880227666419214,3,0.06677910380312921,False
