year,days,modeled_annual_mean_proxy_c,modeled_annual_max_daily_proxy_c,annual_max_modeled_7day_mean_proxy_c,annual_max_modeled_7day_mean_date,grab_sample_dates,metric_warning
1997,365,10.315,16.922,16.673,1997-08-17,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
1998,365,10.429,18.586,17.297,1998-08-01,17,Modeled proxy; not observed daily maximum or regulatory 7DADMax
1999,365,9.937,15.619,15.401,1999-08-28,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2000,366,9.848,16.447,15.865,2000-08-04,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2001,365,9.816,16.438,15.898,2001-08-14,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2002,365,9.909,16.962,16.178,2002-07-25,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2003,365,10.411,17.743,16.517,2003-08-02,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2004,366,10.521,18.459,17.359,2004-07-29,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2005,365,10.312,16.526,16.204,2005-08-01,14,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2006,365,10.485,19.001,17.958,2006-07-27,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2007,365,10.068,17.291,16.895,2007-07-16,14,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2008,366,9.882,17.656,16.82,2008-08-19,17,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2009,365,10.074,19.837,18.538,2009-08-02,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2010,365,10.389,17.865,16.8,2010-08-19,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2011,365,9.782,16.453,16.137,2011-08-27,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2012,366,10.235,17.89,17.066,2012-08-19,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2013,365,10.701,18.013,17.135,2013-07-04,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2014,365,11.165,17.67,17.234,2014-08-06,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2015,365,11.311,18.546,18.045,2015-07-06,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2016,366,11.149,18.255,17.08,2016-08-20,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2017,365,10.532,18.716,17.759,2017-08-08,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2018,365,10.988,18.035,17.662,2018-07-31,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2019,365,10.78,17.479,17.02,2019-08-07,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2020,366,10.923,17.897,17.144,2020-08-21,11,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2021,365,10.605,19.889,18.376,2021-07-01,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2022,365,10.308,19.046,18.248,2022-08-01,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2023,365,10.641,19.214,18.124,2023-08-18,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2024,366,10.615,18.536,17.689,2024-07-13,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
2025,365,10.709,17.873,17.12,2025-08-29,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
