model_id,phase7_analysis_role,year,days,modeled_annual_mean_proxy_c,modeled_annual_max_daily_proxy_c,annual_max_modeled_7day_mean_proxy_c,annual_max_modeled_7day_mean_date,grab_sample_dates,metric_warning
T2,primary_thermal_model,1995,365,10.844,17.922,17.055,1995-07-23,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,1996,366,10.001,17.997,17.333,1996-07-30,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,1997,365,10.235,16.773,16.49,1997-08-17,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,1998,365,10.426,18.491,17.214,1998-08-01,17,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,1999,365,9.897,15.588,15.329,1999-08-28,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2000,366,9.872,16.406,15.799,2000-08-04,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2001,365,9.824,16.396,15.841,2001-08-14,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2002,365,9.942,16.935,16.131,2002-07-25,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2003,365,10.433,17.72,16.489,2003-07-24,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2004,366,10.535,18.431,17.341,2004-07-29,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2005,365,10.344,16.437,16.125,2005-08-01,14,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2006,365,10.446,18.919,17.849,2006-07-27,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2007,365,10.083,17.23,16.879,2007-07-16,14,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2008,366,9.883,17.608,16.794,2008-08-19,17,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2009,365,10.069,19.776,18.434,2009-08-02,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2010,365,10.334,17.736,16.666,2010-08-19,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2011,365,9.737,16.321,16.021,2011-08-27,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2012,366,10.171,17.752,16.93,2012-08-19,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2013,365,10.672,17.913,17.025,2013-07-04,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2014,365,11.098,17.572,17.111,2014-08-06,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2015,365,11.268,18.476,17.96,2015-07-06,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2016,366,11.096,18.188,16.96,2016-08-21,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2017,365,10.468,18.624,17.62,2017-08-08,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2018,365,10.961,17.909,17.562,2018-07-31,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2019,365,10.775,17.387,16.932,2019-08-07,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2020,366,10.873,17.825,17.051,2020-08-21,11,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2021,365,10.585,19.788,18.336,2021-07-01,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2022,365,10.279,18.883,18.096,2022-08-01,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2023,365,10.652,19.165,18.077,2023-08-18,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2024,366,10.615,18.484,17.636,2024-07-13,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,primary_thermal_model,2025,365,10.713,17.836,17.06,2025-08-29,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
