exposure_year,analysis_id,window_id,species,life_stage,window_start_date,window_end_date,primary_return_year,return_year_in_1997_2025,alignment_definition,expected_days,observed_grab_sample_dates,observed_grab_samples,t1_complete_days,t1_window_mean_proxy_c,t1_window_max_modeled_daily_proxy_c,t1_window_max_modeled_daily_proxy_date,t1_window_max_within_window_7day_mean_proxy_c,t1_window_max_within_window_7day_mean_date,t1_days_proxy_ge_17_5c,t1_days_proxy_ge_19c,t1_days_proxy_ge_21c,t1_longest_proxy_spell_ge_17_5c_days,t1_extrapolation_days,t1_extrapolation_pct,t2_complete_days,t2_window_mean_proxy_c,t2_window_max_modeled_daily_proxy_c,t2_window_max_modeled_daily_proxy_date,t2_window_max_within_window_7day_mean_proxy_c,t2_window_max_within_window_7day_mean_date,t2_days_proxy_ge_17_5c,t2_days_proxy_ge_19c,t2_days_proxy_ge_21c,t2_longest_proxy_spell_ge_17_5c_days,t2_extrapolation_days,t2_extrapolation_pct,t2_minus_t1_window_mean_c,value_status,metric_warning
1997,A5,jun_sep,Coho,juvenile_rearing,1997-06-01,1997-09-30,1999,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,4,122,14.51,16.922,1997-08-13,16.673,1997-08-17,0,0,0,0,0,0.0,122,14.421,16.861,1997-08-13,16.589,1997-08-17,0,0,0,0,0,0.0,-0.089,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
1997,A1,aug15_sep30,Chinook,adult_migration,1997-08-15,1997-09-30,1997,true,adult migration exposure_year = return_year,47,1,1,47,14.579,16.683,1997-08-17,16.006,1997-08-21,0,0,0,0,0,0.0,47,14.509,16.595,1997-08-17,15.938,1997-08-21,0,0,0,0,0,0.0,-0.07,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
1997,A3,sep15_oct31,Coho,adult_migration,1997-09-15,1997-10-31,1997,true,adult migration exposure_year = return_year,47,3,3,47,11.419,14.417,1997-09-25,13.874,1997-09-29,0,0,0,0,0,0.0,47,11.335,14.395,1997-09-25,13.817,1997-09-29,0,0,0,0,0,0.0,-0.083,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
1998,A5,jun_sep,Coho,juvenile_rearing,1998-06-01,1998-09-30,2000,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,5,5,122,14.635,18.586,1998-07-28,17.297,1998-08-01,3,0,0,3,0,0.0,122,14.644,18.593,1998-07-28,17.314,1998-08-01,3,0,0,3,0,0.0,0.009,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
1998,A1,aug15_sep30,Chinook,adult_migration,1998-08-15,1998-09-30,1998,true,adult migration exposure_year = return_year,47,2,2,47,14.513,16.406,1998-09-03,15.882,1998-09-04,0,0,0,0,0,0.0,47,14.521,16.43,1998-09-03,15.878,1998-09-04,0,0,0,0,0,0.0,0.007,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
1998,A3,sep15_oct31,Coho,adult_migration,1998-09-15,1998-10-31,1998,true,adult migration exposure_year = return_year,47,4,4,47,11.546,14.488,1998-09-15,13.996,1998-09-21,0,0,0,0,0,0.0,47,11.604,14.507,1998-09-15,14.031,1998-09-21,0,0,0,0,0,0.0,0.058,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
1999,A5,jun_sep,Coho,juvenile_rearing,1999-06-01,1999-09-30,2001,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,5,5,122,13.764,15.619,1999-08-25,15.401,1999-08-28,0,0,0,0,0,0.0,122,13.745,15.646,1999-08-28,15.401,1999-08-28,0,0,0,0,0,0.0,-0.019,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
1999,A1,aug15_sep30,Chinook,adult_migration,1999-08-15,1999-09-30,1999,true,adult migration exposure_year = return_year,47,1,1,47,13.883,15.619,1999-08-25,15.401,1999-08-28,0,0,0,0,0,0.0,47,13.894,15.646,1999-08-28,15.401,1999-08-28,0,0,0,0,0,0.0,0.01,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
1999,A3,sep15_oct31,Coho,adult_migration,1999-09-15,1999-10-31,1999,true,adult migration exposure_year = return_year,47,1,1,47,11.182,14.579,1999-09-21,14.009,1999-09-23,0,0,0,0,0,0.0,47,11.247,14.621,1999-09-21,14.047,1999-09-23,0,0,0,0,0,0.0,0.065,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2000,A5,jun_sep,Coho,juvenile_rearing,2000-06-01,2000-09-30,2002,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,5,122,13.9,16.447,2000-07-30,15.866,2000-08-04,0,0,0,0,0,0.0,122,13.914,16.486,2000-07-30,15.888,2000-08-04,0,0,0,0,0,0.0,0.014,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2000,A1,aug15_sep30,Chinook,adult_migration,2000-08-15,2000-09-30,2000,true,adult migration exposure_year = return_year,47,1,2,47,13.486,15.27,2000-08-23,14.736,2000-08-27,0,0,0,0,0,0.0,47,13.52,15.269,2000-08-23,14.753,2000-08-27,0,0,0,0,0,0.0,0.034,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2000,A3,sep15_oct31,Coho,adult_migration,2000-09-15,2000-10-31,2000,true,adult migration exposure_year = return_year,47,1,1,47,11.544,14.805,2000-09-15,14.297,2000-09-21,0,0,0,0,0,0.0,47,11.604,14.879,2000-09-15,14.375,2000-09-21,0,0,0,0,0,0.0,0.06,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2001,A5,jun_sep,Coho,juvenile_rearing,2001-06-01,2001-09-30,2003,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,5,122,13.662,16.438,2001-08-10,15.898,2001-08-14,0,0,0,0,0,0.0,122,13.674,16.477,2001-08-10,15.928,2001-08-14,0,0,0,0,0,0.0,0.012,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2001,A1,aug15_sep30,Chinook,adult_migration,2001-08-15,2001-09-30,2001,true,adult migration exposure_year = return_year,47,1,1,47,13.612,15.169,2001-08-15,14.789,2001-09-01,0,0,0,0,0,0.0,47,13.642,15.202,2001-08-15,14.785,2001-09-01,0,0,0,0,0,0.0,0.03,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2001,A3,sep15_oct31,Coho,adult_migration,2001-09-15,2001-10-31,2001,true,adult migration exposure_year = return_year,47,1,1,47,10.966,13.992,2001-09-15,12.939,2001-09-25,0,0,0,0,0,0.0,47,11.005,14.023,2001-09-15,13.026,2001-09-25,0,0,0,0,0,0.0,0.039,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2002,A5,jun_sep,Coho,juvenile_rearing,2002-06-01,2002-09-30,2004,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,4,122,14.164,16.962,2002-07-22,16.178,2002-07-25,0,0,0,0,1,0.82,122,14.19,17.017,2002-07-22,16.211,2002-07-25,0,0,0,0,1,0.82,0.026,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2002,A1,aug15_sep30,Chinook,adult_migration,2002-08-15,2002-09-30,2002,true,adult migration exposure_year = return_year,47,1,1,47,13.943,16.321,2002-08-15,15.106,2002-08-30,0,0,0,0,0,0.0,47,13.975,16.298,2002-08-15,15.139,2002-08-30,0,0,0,0,0,0.0,0.032,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2002,A3,sep15_oct31,Coho,adult_migration,2002-09-15,2002-10-31,2002,true,adult migration exposure_year = return_year,47,1,1,47,11.082,14.427,2002-09-15,13.184,2002-09-21,0,0,0,0,1,2.128,47,11.211,14.534,2002-09-15,13.239,2002-09-21,0,0,0,0,1,2.128,0.128,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2003,A5,jun_sep,Coho,juvenile_rearing,2003-06-01,2003-09-30,2005,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,4,122,14.727,17.743,2003-07-30,16.517,2003-08-02,1,0,0,1,28,22.951,122,14.81,17.812,2003-07-30,16.581,2003-07-24,1,0,0,1,0,0.0,0.083,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2003,A1,aug15_sep30,Chinook,adult_migration,2003-08-15,2003-09-30,2003,true,adult migration exposure_year = return_year,47,1,1,47,14.463,16.717,2003-09-04,15.861,2003-08-21,0,0,0,0,28,59.574,47,14.553,16.816,2003-09-04,15.944,2003-08-21,0,0,0,0,0,0.0,0.089,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2003,A3,sep15_oct31,Coho,adult_migration,2003-09-15,2003-10-31,2003,true,adult migration exposure_year = return_year,47,1,1,47,11.982,14.86,2003-09-28,14.09,2003-09-30,0,0,0,0,12,25.532,47,12.043,15.006,2003-09-28,14.244,2003-10-01,0,0,0,0,0,0.0,0.061,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2004,A5,jun_sep,Coho,juvenile_rearing,2004-06-01,2004-09-30,2006,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,4,122,14.724,18.459,2004-07-24,17.359,2004-07-29,3,0,0,3,15,12.295,122,14.749,18.534,2004-07-24,17.448,2004-07-29,3,0,0,3,1,0.82,0.025,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2004,A1,aug15_sep30,Chinook,adult_migration,2004-08-15,2004-09-30,2004,true,adult migration exposure_year = return_year,47,1,1,47,14.057,16.603,2004-08-15,16.232,2004-08-21,0,0,0,0,7,14.894,47,14.007,16.677,2004-08-15,16.323,2004-08-21,0,0,0,0,0,0.0,-0.05,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2004,A3,sep15_oct31,Coho,adult_migration,2004-09-15,2004-10-31,2004,true,adult migration exposure_year = return_year,47,1,1,47,11.382,13.188,2004-09-15,12.42,2004-10-01,0,0,0,0,0,0.0,47,11.353,13.127,2004-09-15,12.424,2004-10-01,0,0,0,0,0,0.0,-0.029,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2005,A5,jun_sep,Coho,juvenile_rearing,2005-06-01,2005-09-30,2007,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,4,122,14.228,16.526,2005-08-05,16.204,2005-08-01,0,0,0,0,0,0.0,122,14.257,16.534,2005-08-05,16.217,2005-08-01,0,0,0,0,0,0.0,0.028,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
