model_id,phase7_analysis_role,date,year,month,observed_grab_temp_c,grab_count,quality_ids,leave_year_out_prediction_c,leave_year_out_residual_c,final_model_fitted_c
T1,sensitivity_thermal_model,1995-01-10,1995,1,7.0,1,2,7.844,-0.844,7.805
T1,sensitivity_thermal_model,1995-01-30,1995,1,9.1,1,2,9.057,0.043,9.0
T1,sensitivity_thermal_model,1995-02-15,1995,2,4.6,1,2,4.74,-0.14,4.69
T1,sensitivity_thermal_model,1995-03-09,1995,3,8.0,1,2,8.45,-0.45,8.413
T1,sensitivity_thermal_model,1995-03-14,1995,3,8.9,2,2,9.398,-0.498,9.384
T1,sensitivity_thermal_model,1995-04-11,1995,4,8.5,1,2,8.826,-0.326,8.789
T1,sensitivity_thermal_model,1995-05-02,1995,5,10.7,1,2,11.319,-0.619,11.283
T1,sensitivity_thermal_model,1995-05-09,1995,5,11.3,2,2,11.697,-0.397,11.659
T1,sensitivity_thermal_model,1995-06-13,1995,6,12.1,1,2,13.398,-1.298,13.342
T1,sensitivity_thermal_model,1995-07-18,1995,7,16.2,1,2,17.592,-1.392,17.539
T1,sensitivity_thermal_model,1995-08-15,1995,8,13.4,1,2,13.572,-0.172,13.539
T1,sensitivity_thermal_model,1995-08-17,1995,8,13.1,1,2,13.395,-0.295,13.372
T1,sensitivity_thermal_model,1995-09-19,1995,9,13.3,1,2,14.066,-0.766,14.048
T1,sensitivity_thermal_model,1995-11-14,1995,11,11.1,1,2,10.054,1.046,10.112
T1,sensitivity_thermal_model,1995-11-30,1995,11,10.0,1,2,9.829,0.171,9.877
T1,sensitivity_thermal_model,1996-01-09,1996,1,7.7,1,2,7.776,-0.076,7.776
T1,sensitivity_thermal_model,1996-02-08,1996,2,9.0,1,2,8.286,0.714,8.335
T1,sensitivity_thermal_model,1996-02-13,1996,2,6.3,1,2,7.567,-1.267,7.476
T1,sensitivity_thermal_model,1996-03-12,1996,3,8.5,1,2,8.996,-0.496,8.976
T1,sensitivity_thermal_model,1996-04-01,1996,4,8.6,1,2,8.18,0.42,8.21
T1,sensitivity_thermal_model,1996-04-16,1996,4,10.5,1,2,10.161,0.339,10.195
T1,sensitivity_thermal_model,1996-04-17,1996,4,9.7,2,2,9.265,0.435,9.277
T1,sensitivity_thermal_model,1996-05-14,1996,5,11.5,1,2,11.437,0.063,11.464
T1,sensitivity_thermal_model,1996-06-11,1996,6,12.5,1,2,12.918,-0.418,12.899
T1,sensitivity_thermal_model,1996-07-16,1996,7,14.8,1,2,16.005,-1.205,15.942
T1,sensitivity_thermal_model,1996-08-13,1996,8,14.3,1,2,15.959,-1.659,15.892
T1,sensitivity_thermal_model,1996-09-10,1996,9,13.2,1,2,13.971,-0.771,13.931
T1,sensitivity_thermal_model,1996-10-08,1996,10,12.0,1,2,12.515,-0.515,12.49
T1,sensitivity_thermal_model,1996-11-13,1996,11,10.0,2,2,9.396,0.604,9.411
T1,sensitivity_thermal_model,1996-12-10,1996,12,7.0,1,2,6.931,0.069,6.921
T1,sensitivity_thermal_model,1997-01-14,1997,1,2.6,1,2,3.43,-0.83,3.389
T1,sensitivity_thermal_model,1997-02-10,1997,2,5.5,1,2,5.048,0.452,5.067
T1,sensitivity_thermal_model,1997-03-11,1997,3,7.5,1,2,6.573,0.927,6.586
T1,sensitivity_thermal_model,1997-03-18,1997,3,8.5,1,2,8.416,0.084,8.445
T1,sensitivity_thermal_model,1997-04-08,1997,4,8.5,1,2,8.37,0.13,8.396
T1,sensitivity_thermal_model,1997-05-13,1997,5,12.6,1,2,13.298,-0.698,13.266
T1,sensitivity_thermal_model,1997-06-10,1997,6,14.1,1,2,13.281,0.819,13.259
T1,sensitivity_thermal_model,1997-07-08,1997,7,14.0,1,2,14.764,-0.764,14.772
T1,sensitivity_thermal_model,1997-08-12,1997,8,16.3,1,2,16.741,-0.441,16.693
T1,sensitivity_thermal_model,1997-09-09,1997,9,14.5,1,2,15.038,-0.538,15.017
T1,sensitivity_thermal_model,1997-10-02,1997,10,12.6,1,2,12.537,0.063,12.536
T1,sensitivity_thermal_model,1997-10-14,1997,10,10.9,1,2,10.647,0.253,10.668
T1,sensitivity_thermal_model,1997-10-29,1997,10,10.3,1,2,10.023,0.277,10.035
T1,sensitivity_thermal_model,1997-11-13,1997,11,6.9,1,2,8.237,-1.337,8.181
T1,sensitivity_thermal_model,1997-12-09,1997,12,6.6,1,2,5.767,0.833,5.768
T1,sensitivity_thermal_model,1997-12-16,1997,12,8.2,1,2,7.902,0.298,7.903
T1,sensitivity_thermal_model,1998-01-05,1998,1,5.7,1,2,5.859,-0.159,5.845
