model_id,phase7_analysis_role,date,year,month,observed_grab_temp_c,grab_count,quality_ids,leave_year_out_prediction_c,leave_year_out_residual_c,final_model_fitted_c
T2,primary_thermal_model,1995-01-10,1995,1,7.0,1,2,7.961,-0.961,7.942
T2,primary_thermal_model,1995-01-30,1995,1,9.1,1,2,9.131,-0.031,9.096
T2,primary_thermal_model,1995-02-15,1995,2,4.6,1,2,4.834,-0.234,4.792
T2,primary_thermal_model,1995-03-09,1995,3,8.0,1,2,8.472,-0.472,8.441
T2,primary_thermal_model,1995-03-14,1995,3,8.9,2,2,9.339,-0.439,9.312
T2,primary_thermal_model,1995-04-11,1995,4,8.5,1,2,8.857,-0.357,8.827
T2,primary_thermal_model,1995-05-02,1995,5,10.7,1,2,11.361,-0.661,11.336
T2,primary_thermal_model,1995-05-09,1995,5,11.3,2,2,11.799,-0.499,11.77
T2,primary_thermal_model,1995-06-13,1995,6,12.1,1,2,13.467,-1.367,13.422
T2,primary_thermal_model,1995-07-18,1995,7,16.2,1,2,17.633,-1.433,17.588
T2,primary_thermal_model,1995-08-15,1995,8,13.4,1,2,13.617,-0.217,13.586
T2,primary_thermal_model,1995-08-17,1995,8,13.1,1,2,13.272,-0.172,13.249
T2,primary_thermal_model,1995-09-19,1995,9,13.3,1,2,14.113,-0.813,14.11
T2,primary_thermal_model,1995-11-14,1995,11,11.1,1,2,9.941,1.159,9.96
T2,primary_thermal_model,1995-11-30,1995,11,10.0,1,2,9.493,0.507,9.497
T2,primary_thermal_model,1996-01-09,1996,1,7.7,1,2,7.713,-0.013,7.72
T2,primary_thermal_model,1996-02-08,1996,2,9.0,1,2,8.002,0.998,8.014
T2,primary_thermal_model,1996-02-13,1996,2,6.3,1,2,7.388,-1.088,7.337
T2,primary_thermal_model,1996-03-12,1996,3,8.5,1,2,9.003,-0.503,8.997
T2,primary_thermal_model,1996-04-01,1996,4,8.6,1,2,8.168,0.432,8.193
T2,primary_thermal_model,1996-04-16,1996,4,10.5,1,2,10.058,0.442,10.087
T2,primary_thermal_model,1996-04-17,1996,4,9.7,2,2,9.16,0.54,9.168
T2,primary_thermal_model,1996-05-14,1996,5,11.5,1,2,11.39,0.11,11.419
T2,primary_thermal_model,1996-06-11,1996,6,12.5,1,2,12.918,-0.418,12.907
T2,primary_thermal_model,1996-07-16,1996,7,14.8,1,2,16.044,-1.244,15.986
T2,primary_thermal_model,1996-08-13,1996,8,14.3,1,2,15.943,-1.643,15.873
T2,primary_thermal_model,1996-09-10,1996,9,13.2,1,2,13.959,-0.759,13.917
T2,primary_thermal_model,1996-10-08,1996,10,12.0,1,2,12.597,-0.597,12.586
T2,primary_thermal_model,1996-11-13,1996,11,10.0,2,2,9.348,0.652,9.36
T2,primary_thermal_model,1996-12-10,1996,12,7.0,1,2,6.818,0.182,6.825
T2,primary_thermal_model,1997-01-14,1997,1,2.6,1,2,3.369,-0.769,3.329
T2,primary_thermal_model,1997-02-10,1997,2,5.5,1,2,5.13,0.37,5.146
T2,primary_thermal_model,1997-03-11,1997,3,7.5,1,2,6.452,1.048,6.468
T2,primary_thermal_model,1997-03-18,1997,3,8.5,1,2,8.269,0.231,8.306
T2,primary_thermal_model,1997-04-08,1997,4,8.5,1,2,8.421,0.079,8.446
T2,primary_thermal_model,1997-05-13,1997,5,12.6,1,2,13.25,-0.65,13.223
